Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road Width,Road Type,Posted,Amenities,Category,Type,Latitude,Longitude
"Flat System : House For Sale In Tikathali, Lalitpur","Imadol, Tikathali, Lalitpur",Lalitpur,21500000,6,4,2.5,3,West,2076,17.4K,4 Aana,20 Feet , Concrete,3 months ago,"['Balcony', 'Fencing', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",Apartment,Sale,27.70109251,85.34566539
"2 Room Available : Flat For Sale In Shrijana Chowk, Pokhara","Pokhara 8, Pratibha marga, Shrijana Chowk, Pokhara",Pokhara,11000,2,1,2,0,East,2073,206,3 Aana,12 Feet , Blacktopped,3 months ago,"['Balcony', 'Drainage']",Apartment,Sale,27.74138042,85.29091526
" Flat For Rent In Bharatpur, Chitwan: Flat In Rent Just Near Nepal Polytechnic College Vhojad","Bharatpur11,vhojad, Bharatpur, Chitwan",Chitwan,13000,2,2,3,1,West,2019,232,4 Aana,19 Meter , Alley,3 months ago,"[ 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']]",Apartment,Rent,27.73420339,85.3464159
"Flat For Rent : Flat For Rent In Thankot, Kathmandu","Chandagiri, Thankot, Kathmandu",Kathmandu,16000,2,1,3,0,South,2009,697,6 Aana,7 Feet , Gravelled,3 months ago,"['Backyard', 'Frontyard', 'Balcony', 'Water Well', 'Water Supply', 'Kids Playground']",Apartment,Rent,27.67922597,85.29512993
"Flat Rent : Flat For Rent In Basundhara, Kathmandu","Kanti Marg, Basundhara, Basundhara, Kathmandu",Kathmandu,20000,2,1,3,1,West,2012,573,6 Aana,10 Feet , Gravelled,3 months ago,"['Backyard', 'Garden', 'Water Supply', 'Internet', 'Kids Playground']",Apartment,Rent,27.74020355,85.29185229
"Samakhusi 11 Ana Flat Home : House For Sale In Samakhusi, Kathmandu","Samakhusi, Kathmandu",Kathmandu,61000000,12,8,4,4,East,2069,199,11 Aana,13 Feet , Blacktopped,3 months ago,"['Parking', 'Drainage', 'Solar Water', 'Water Tank']",Apartment,Sale,27.74095611,85.29113912
"Sale-Imperial Apartment Sanepa : Apartment For Sale In Sanepa, Lalitpur","Sanepa, Sanepa, Lalitpur",Lalitpur,4500000,3,2,13,1,South,2015,1.7K,8 Aana,20 Feet , Blacktopped,4 months ago,"['Jacuzzi', 'Lawn', 'Garage', 'Air Condition', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Deck', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Cafeteria', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Lift', 'Maintenance']",Apartment,Sale,27.72173583,85.30074785
"12.5 Anna Jagga On Sale At Lolang Height, Hariyali Samaaj: Balaju, Kathmandu","Lolang Height, Hariyali Samaaj, Balaju, Kathmandu",Kathmandu,2200000,,,,,East,2016,699,12.5 Aana,10 Feet , Gravelled,2 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Blacktopped Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.72526939,85.31325277
3.1 Anna Brand New House For Sale At Greenland Tokha Near Grande,"Greenland Tokha Near Grande, Tokha, Kathmandu",Kathmandu,25000000,4,3,2,1,East,2076,221,3.1 Aana,12 Feet , Gravelled,4 months ago,"['Garage', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",House,Sale,27.72810954,85.36247791
" For Sale At Greenland: Tokha, Kathmandu","Greenland, Tokha, Kathmandu",Kathmandu,38500000,,,,,East,2076,306,8 Aana,16 Feet , Blacktopped,4 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Blacktopped Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.6928075,85.32490387
"Greenland Brand New Bungalow : House For Sale In Grande Villa, Kathmandu","Grande Villa, Kathmandu",Kathmandu,39000000,,,,,South,2076,501,6.5 Aana,15 Feet , Soil Stabilized,4 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Soil Stabilized Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.70490947,85.32533718
"Tokha Greenland New Home : House For Sale In Tokha, Kathmandu","Tokha, Kathmandu",Kathmandu,2900000,,,,,South,2076,396,4 Aana,13 Feet , Gravelled,4 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Gravelled Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.71482463,85.28845923
"Greenland New Home For Sale : House For Sale In Grande Villa, Kathmandu","Grande Villa, Kathmandu",Kathmandu,25000000,,,,,South,2076,404,3.5 Aana,13 Feet , Gravelled,4 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Blacktopped Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.72267517,85.30122077
"Land For Sale In Satdobato, Lalitpur","Khumaltar Height, Satdobato, Lalitpur",Lalitpur,70000000,,,,,East,2050,896,10 Aana,20 Feet , Blacktopped,7 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Blacktopped Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.69995723,85.28981177
"Land For Sale In Shantinagar, Kathmandu","Shantingar Gate, Shantinagar, Kathmandu",Kathmandu,70000000,,,,,East,2049,989,9 Aana,20 Feet , Blacktopped,7 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Blacktopped Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.74870438,85.35294435
"Greenland land For Sale in Tokha, Kathmandu"," Tokha, Kathmandu",Kathmandu,17800000,,,,,South,2076,519,3.1 Aana,12 Feet , Blacktopped,8 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Blacktopped Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.68601316,85.34343404
"373 Pachali Marg : Land For Sale In Teku, Kathmandu","373 Pachali Marg, Teku, Kathmandu",Kathmandu,45000000,,,,,East,2025,227,14 Aana,9 Meter , Blacktopped,10 months ago,"['Fencing', 'Water Supply', 'Electricity', 'Drainage', 'Blacktopped Road', 'Gated Community', 'Lalpurja Ready', 'Boundary Wall']",Land,Sale,27.73478842,85.32224591
